pruid,prname,date,numtotal,numdeathstoday
35,Ontario,2020-03-20,311,0
24,Quebec,2020-03-20,139,0
10,Newfoundland and Labrador,2020-03-20,4,0
13,New Brunswick,2020-03-20,11,0
12,Nova Scotia,2020-03-20,15,0
11,Prince Edward Island,2020-03-20,2,0
60,Yukon,2020-03-20,0,0
61,Northwest Territories,2020-03-20,0,0
62,Nunavut,2020-03-20,0,0
99,Repatriated travellers,2020-03-20,13,0
1,Canada,2020-03-20,1004,1
59,British Columbia,2020-03-21,424,1
48,Alberta,2020-03-21,226,0
47,Saskatchewan,2020-03-21,44,0
46,Manitoba,2020-03-21,19,0
35,Ontario,2020-03-21,377,1
24,Quebec,2020-03-21,221,3
10,Newfoundland and Labrador,2020-03-21,6,0
13,New Brunswick,2020-03-21,17,0
12,Nova Scotia,2020-03-21,21,0
11,Prince Edward Island,2020-03-21,2,0
60,Yukon,2020-03-21,0,0
61,Northwest Territories,2020-03-21,1,0
62,Nunavut,2020-03-21,0,0
99,Repatriated travellers,2020-03-21,13,0
1,Canada,2020-03-21,1371,5
59,British Columbia,2020-03-22,424,0
48,Alberta,2020-03-22,259,0
47,Saskatchewan,2020-03-22,52,0
46,Manitoba,2020-03-22,19,0
35,Ontario,2020-03-22,425,2
24,Quebec,2020-03-22,221,0
10,Newfoundland and Labrador,2020-03-22,9,0
13,New Brunswick,2020-03-22,17,0
12,Nova Scotia,2020-03-22,28,0
11,Prince Edward Island,2020-03-22,3,0
60,Yukon,2020-03-22,0,0
61,Northwest Territories,2020-03-22,1,0
62,Nunavut,2020-03-22,0,0
99,Repatriated travellers,2020-03-22,13,0
1,Canada,2020-03-22,1471,2
59,British Columbia,2020-03-23,472,3
48,Alberta,2020-03-23,301,0
47,Saskatchewan,2020-03-23,66,0
46,Manitoba,2020-03-23,20,0
35,Ontario,2020-03-23,503,1
24,Quebec,2020-03-23,628,0
10,Newfoundland and Labrador,2020-03-23,24,0
13,New Brunswick,2020-03-23,17,0
12,Nova Scotia,2020-03-23,41,0
11,Prince Edward Island,2020-03-23,3,0
60,Yukon,2020-03-23,2,0
61,Northwest Territories,2020-03-23,1,0
62,Nunavut,2020-03-23,0,0
99,Repatriated travellers,2020-03-23,13,0
1,Canada,2020-03-23,2091,4
59,British Columbia,2020-03-24,617,0
48,Alberta,2020-03-24,358,1
47,Saskatchewan,2020-03-24,72,0
46,Manitoba,2020-03-24,21,0
35,Ontario,2020-03-24,588,2
24,Quebec,2020-03-24,1013,0
10,Newfoundland and Labrador,2020-03-24,35,0
13,New Brunswick,2020-03-24,18,0
12,Nova Scotia,2020-03-24,51,0
11,Prince Edward Island,2020-03-24,3,0
60,Yukon,2020-03-24,2,0
61,Northwest Territories,2020-03-24,1,0
62,Nunavut,2020-03-24,0,0
99,Repatriated travellers,2020-03-24,13,0
1,Canada,2020-03-24,2792,3
59,British Columbia,2020-03-25,659,1
48,Alberta,2020-03-25,419,0
47,Saskatchewan,2020-03-25,86,0
46,Manitoba,2020-03-25,35,0
35,Ontario,2020-03-25,688,5
24,Quebec,2020-03-25,1339,2
10,Newfoundland and Labrador,2020-03-25,67,0
13,New Brunswick,2020-03-25,26,0
12,Nova Scotia,2020-03-25,68,0
11,Prince Edward Island,2020-03-25,5,0
60,Yukon,2020-03-25,3,0
61,Northwest Territories,2020-03-25,1,0
62,Nunavut,2020-03-25,0,0
99,Repatriated travellers,2020-03-25,13,0
1,Canada,2020-03-25,3409,8
59,British Columbia,2020-03-26,725,0
48,Alberta,2020-03-26,486,0
47,Saskatchewan,2020-03-26,95,0
46,Manitoba,2020-03-26,36,0
35,Ontario,2020-03-26,858,2
24,Quebec,2020-03-26,1629,2
10,Newfoundland and Labrador,2020-03-26,82,0
13,New Brunswick,2020-03-26,33,0
12,Nova Scotia,2020-03-26,73,0
11,Prince Edward Island,2020-03-26,9,0
60,Yukon,2020-03-26,3,0
61,Northwest Territories,2020-03-26,1,0
62,Nunavut,2020-03-26,0,0
99,Repatriated travellers,2020-03-26,13,0
1,Canada,2020-03-26,4043,4
59,British Columbia,2020-03-27,725,0
48,Alberta,2020-03-27,542,0
47,Saskatchewan,2020-03-27,104,0
46,Manitoba,2020-03-27,39,1
35,Ontario,2020-03-27,993,3
24,Quebec,2020-03-27,2021,10
10,Newfoundland and Labrador,2020-03-27,102,0
13,New Brunswick,2020-03-27,45,0
12,Nova Scotia,2020-03-27,90,0
11,Prince Edward Island,2020-03-27,11,0
60,Yukon,2020-03-27,3,0
61,Northwest Territories,2020-03-27,1,0
62,Nunavut,2020-03-27,0,0
99,Repatriated travellers,2020-03-27,13,0
1,Canada,2020-03-27,4689,14
59,British Columbia,2020-03-28,884,2
48,Alberta,2020-03-28,542,0
47,Saskatchewan,2020-03-28,134,0
46,Manitoba,2020-03-28,64,0
35,Ontario,2020-03-28,993,0
24,Quebec,2020-03-28,2498,4
10,Newfoundland and Labrador,2020-03-28,120,0
13,New Brunswick,2020-03-28,51,0
12,Nova Scotia,2020-03-28,110,0
11,Prince Edward Island,2020-03-28,11,0
60,Yukon,2020-03-28,4,0
61,Northwest Territories,2020-03-28,1,0
62,Nunavut,2020-03-28,0,0
99,Repatriated travellers,2020-03-28,13,0
1,Canada,2020-03-28,5425,6
59,British Columbia,2020-03-29,884,1
48,Alberta,2020-03-29,621,0
47,Saskatchewan,2020-03-29,134,0
46,Manitoba,2020-03-29,72,0
35,Ontario,2020-03-29,1355,1
24,Quebec,2020-03-29,2840,0
10,Newfoundland and Labrador,2020-03-29,135,0
13,New Brunswick,2020-03-29,66,0
12,Nova Scotia,2020-03-29,122,0
11,Prince Edward Island,2020-03-29,11,0
60,Yukon,2020-03-29,4,0
61,Northwest Territories,2020-03-29,1,0
62,Nunavut,2020-03-29,0,0
99,Repatriated travellers,2020-03-29,13,0
1,Canada,2020-03-29,6258,2
59,British Columbia,2020-03-30,960,2
48,Alberta,2020-03-30,690,6
47,Saskatchewan,2020-03-30,175,2
46,Manitoba,2020-03-30,96,0
35,Ontario,2020-03-30,1706,14
24,Quebec,2020-03-30,3430,3
10,Newfoundland and Labrador,2020-03-30,148,1
13,New Brunswick,2020-03-30,68,0
12,Nova Scotia,2020-03-30,127,0
11,Prince Edward Island,2020-03-30,18,0
60,Yukon,2020-03-30,5,0
61,Northwest Territories,2020-03-30,1,0
62,Nunavut,2020-03-30,0,0
99,Repatriated travellers,2020-03-30,13,0
1,Canada,2020-03-30,7437,28
59,British Columbia,2020-03-31,970,0
48,Alberta,2020-03-31,754,1
47,Saskatchewan,2020-03-31,184,0
46,Manitoba,2020-03-31,103,0
35,Ontario,2020-03-31,1966,0
24,Quebec,2020-03-31,4162,6
10,Newfoundland and Labrador,2020-03-31,152,0
13,New Brunswick,2020-03-31,70,0
12,Nova Scotia,2020-03-31,147,0
11,Prince Edward Island,2020-03-31,21,0
60,Yukon,2020-03-31,5,0
61,Northwest Territories,2020-03-31,1,0
62,Nunavut,2020-03-31,0,0
99,Repatriated travellers,2020-03-31,13,0
1,Canada,2020-03-31,8548,7
59,British Columbia,2020-04-01,1066,6
48,Alberta,2020-04-01,754,0
47,Saskatchewan,2020-04-01,193,1
46,Manitoba,2020-04-01,127,0
35,Ontario,2020-04-01,2392,4
24,Quebec,2020-04-01,4611,2
10,Newfoundland and Labrador,2020-04-01,175,0
13,New Brunswick,2020-04-01,81,0
12,Nova Scotia,2020-04-01,173,0
11,Prince Edward Island,2020-04-01,21,0
60,Yukon,2020-04-01,5,0
61,Northwest Territories,2020-04-01,2,0
62,Nunavut,2020-04-01,0,0
99,Repatriated travellers,2020-04-01,13,0
1,Canada,2020-04-01,9613,13
59,British Columbia,2020-04-02,1121,6
48,Alberta,2020-04-02,968,4
47,Saskatchewan,2020-04-02,206,0
46,Manitoba,2020-04-02,167,0
35,Ontario,2020-04-02,2793,16
24,Quebec,2020-04-02,5518,3
10,Newfoundland and Labrador,2020-04-02,183,0
13,New Brunswick,2020-04-02,91,0
12,Nova Scotia,2020-04-02,193,0
11,Prince Edward Island,2020-04-02,22,0
60,Yukon,2020-04-02,6,0
61,Northwest Territories,2020-04-02,2,0
62,Nunavut,2020-04-02,0,0
99,Repatriated travellers,2020-04-02,13,0
1,Canada,2020-04-02,11283,29
59,British Columbia,2020-04-03,1174,4
48,Alberta,2020-04-03,1075,5
47,Saskatchewan,2020-04-03,220,0
46,Manitoba,2020-04-03,182,1
35,Ontario,2020-04-03,3255,14
24,Quebec,2020-04-03,6101,25
10,Newfoundland and Labrador,2020-04-03,183,0
13,New Brunswick,2020-04-03,95,0
12,Nova Scotia,2020-04-03,207,0
11,Prince Edward Island,2020-04-03,22,0
60,Yukon,2020-04-03,6,0
61,Northwest Territories,2020-04-03,4,0
62,Nunavut,2020-04-03,0,0
99,Repatriated travellers,2020-04-03,13,0
1,Canada,2020-04-03,12537,49
59,British Columbia,2020-04-04,1203,3
48,Alberta,2020-04-04,1075,0
47,Saskatchewan,2020-04-04,231,0
46,Manitoba,2020-04-04,194,0
35,Ontario,2020-04-04,3630,27
24,Quebec,2020-04-04,6997,14
10,Newfoundland and Labrador,2020-04-04,195,0
13,New Brunswick,2020-04-04,98,0
12,Nova Scotia,2020-04-04,236,0
11,Prince Edward Island,2020-04-04,22,0
60,Yukon,2020-04-04,6,0
61,Northwest Territories,2020-04-04,4,0
62,Nunavut,2020-04-04,0,0
99,Repatriated travellers,2020-04-04,13,0
1,Canada,2020-04-04,13904,44
59,British Columbia,2020-04-05,1203,0
48,Alberta,2020-04-05,1250,5
47,Saskatchewan,2020-04-05,249,0
46,Manitoba,2020-04-05,203,0
35,Ontario,2020-04-05,4038,25
24,Quebec,2020-04-05,7944,19
10,Newfoundland and Labrador,2020-04-05,217,0
13,New Brunswick,2020-04-05,101,0
12,Nova Scotia,2020-04-05,262,0
11,Prince Edward Island,2020-04-05,22,0
60,Yukon,2020-04-05,6,0
61,Northwest Territories,2020-04-05,4,0
62,Nunavut,2020-04-05,0,0
99,Repatriated travellers,2020-04-05,13,0
1,Canada,2020-04-05,15512,49
